labels	source	f	m	kw_s	kw_f	kw_m	data_split
DOBJ;PROF;SUBJ;PROF;DFCL	But my brother, who knows the boss better thinks that if you get another piece of that category the boss is able to pay you with two suitcases.	Pero mi hermano, que conoce mejor a la jefa piensa que si consigues otra pieza de aquella categoría la jefa es capaz de pagarte con dos maletas.	Pero mi hermano, que conoce mejor al jefe piensa que si consigues otra pieza de aquella categoría el jefe es capaz de pagarte con dos maletas.	boss=boss	a la [jefa]=la [jefa]	al [jefe]=el [jefe]	dev
QUES;SCMP;SUBJ;PROF;PLUR	What have the workers gained?	¿Qué es lo que han ganado las trabajadoras?	¿Qué es lo que han ganado los trabajadores?	workers	las [trabajadoras]	los [trabajadores]	dev
SUBJ;PROF	Your beneficiary may receive less money due to foreign taxes.	Su beneficiaria podría recibir menos dinero debido a impuestos extranjeros.	Su beneficiario podría recibir menos dinero debido a impuestos extranjeros.	beneficiary	beneficiaria	beneficiario	dev
SUBJ;PROF	The composer put together a whole orchestra, it was the best concert I have attended in a long time.	La compositora montó toda una orquesta, fue el mejor concierto al que he asistido en mucho tiempo.	El compositor montó toda una orquesta, fue el mejor concierto al que he asistido en mucho tiempo.	composer	la [compositora]	el [compositor]	dev
SCMP;SUBJ;OTH;PLUR	Passengers arriving at the check-in desk later than the deadline, lose the right for embarkation, even if they hold a valid reservation.	Si las pasajeras no se presentan dentro de dicho horario perderán el derecho a embarcar, aunque dispongan de reserva.	Si los pasajeros no se presentan dentro de dicho horario perderán el derecho a embarcar, aunque dispongan de reserva.	passengers	las [pasajeras]	los [pasajeros]	dev
SUBJ;PPA;PROF	The award-winning worker earns a steady positive salary.	La premiada trabajadora gana un salario positivo estable.	El premiado trabajador gana un salario positivo estable.	award-winning [worker]	la premiada [trabajadora]	el premiado [trabajador]	dev
SCMP;SUBJ;PROF;PLUR	What's complicated is how different each of these experts are.	Lo complicado es lo diferentes que son cada una de estas expertas.	Lo complicado es lo diferentes que son cada uno de estos expertos.	each of these [experts]	cada una de estas [expertas]	cada uno de estos [expertos]	dev
RSCMP;OTH	Because being vegan is more important than being popular!	¡Porque ser vegana es más importante que ser popular!	¡Porque ser vegano es más importante que ser popular!	vegan	vegana	vegano	dev
SUBJ;PROF	A zookeeper fed the bear a fish.	Una cuidadora del zoológico alimentó al oso con un pez.	Un cuidador del zoológico alimentó al oso con un pez.	zookeeper	una [cuidadora del zoológico]	un [cuidador del zoológico]	dev
SUBJ;PROF;RSCMP;OTH;DFCL	The doctor who raised the alert and is now just another sick person.	La médica que lanzó la alerta y ahora es una enferma más.	El médico que lanzó la alerta y ahora es un enfermo más.	doctor=just another [sick person]	la [médica]=una [enferma] más	el [médico]=un [enfermo] más	dev
SUBJ;FAM	This friend can't do bikini, nude or beauty shots.	Esta amiga no puede dedicarse a las fotografías de bikinis, desnudos ni belleza.	Este amigo no puede dedicarse a las fotografías de bikinis, desnudos ni belleza.	this [friend]	esta [amiga]	este [amigo]	dev
FRAG;OPRP;PROF;PLUR	But if your child has been struggling for a while, it's a good idea to consider speaking with his teachers.	Pero si su hijo ha estado teniendo dificultades por mucho tiempo, sería buena idea hablar con sus maestras.	Pero si su hijo ha estado teniendo dificultades por mucho tiempo, sería buena idea hablar con sus maestros.	teachers	maestras	maestros	dev
SCMP;SUBJ;SCMP;AATR	I was wondering what your parents are like, because you're really kind, and must have taken after somebody.	Me estaba preguntando cómo son tus padres, porque tú eres amabilísima, y tienes que haber salido a alguien.	Me estaba preguntando cómo son tus padres, porque tú eres amabilísimo, y tienes que haber salido a alguien.	you=really kind	tú=amabilísima	tú=amabilísimo	dev
SUBJ;PROF	The historian should try to be objective about what happened.	La historiadora debe intentar ser objetivo sobre qué ha sucedido.	El historiador debe intentar ser objetivo sobre qué ha sucedido.	historian	la [historiadora]	el [historiador]	dev
HEAD;OPRP;PROF	Support training of new inpatient admission coordinator	Apoyar la capacitación de la nueva coordinadora de admisión de hospitalizados.	Apoyar la capacitación del nuevo coordinador de admisión de hospitalizados.	of new inpatient admission [coordinator]	de la nueva [coordinadora] de admisión de hospitalizados	del nuevo [coordinador] de admisión de hospitalizados	dev
SCMP;SUBJ;PROF	I wonder whether the minister would welcome that decision.	Me gustaría saber si la ministra acogería con beneplácito esa decisión.	Me gustaría saber si el ministro acogería con beneplácito esa decisión.	minister	la [ministra]	el [ministro]	dev
SCMP;SUBJ;PROF	And listen as an expert explains how to choose books for struggling readers.	Y escuche como una experta explicar cómo escoger libros para los niños que tienen dificultades para leer.	Y escuche como un experto explicar cómo escoger libros para los niños que tienen dificultades para leer.	expert	una [experta]	un [experto]	dev
SUBJ;PROF	An agronomist told me about it.	Una agrónoma me dijo al respecto.	Un agrónomo me dijo al respecto.	agronomist	una [agrónoma]	un [agrónomo]	dev
SUBJ;OTH;PLUR;APRD;PPA;APRD;PLUR;PPA;PLUR;DIFF	This is something that citizens really feel themselves to be affected by, and which causes them harm.	Las ciudadanas se sienten realmente afectadas e indignadas por este tema.	Los ciudadanos se sienten realmente afectados e indignados por este tema.	citizens=affected	las [ciudadanas]=realmente afectadas=indignadas	los [ciudadanos]=realmente afectados=indignados	dev
SUBJ;FAM	My nice sister-in-law and nephew don't have to stay here, but my cousin does.	Mi simpática cuñada y mi sobrino no tienen que quedarse aquí, pero mi prima sí tiene que hacerlo.	Mi simpática cuñada y mi sobrino no tienen que quedarse aquí, pero mi primo sí tiene que hacerlo.	cousin	prima	primo	dev
