labels	source	ff	fm	mf	mm	kw_s	kw_f	kw_m
SUBJ;PLUR;SCMP;ANAN;OTH;NAT	The accused in pretrial detention are Guineans.	Les accusées en détention provisoire sont des Guinéennes.	Les accusées en détention provisoire sont des Guinéens.	Les accusés en détention provisoire sont des Guinéennes.	Les accusés en détention provisoire sont des Guinéens.	accused;Guineans	accusées;Guinéennes	accusés;Guinéens
ANAN;SUBJ;PLUR;PROF;GLNK	In pursuing this quest, the acrobats and scouts attend major sports events as well as various festivals and multidisciplinary shows.	Pour y parvenir, les acrobates et éclaireuses assistent à des événements sportifs d’envergure ainsi qu’à divers festivals et spectacles multidisciplinaires.	Pour y parvenir, les acrobates et éclaireurs assistent à des événements sportifs d’envergure ainsi qu’à divers festivals et spectacles multidisciplinaires.	Pour y parvenir, les acrobates et éclaireuses assistent à des événements sportifs d’envergure ainsi qu’à divers festivals et spectacles multidisciplinaires.	Pour y parvenir, les acrobates et éclaireurs assistent à des événements sportifs d’envergure ainsi qu’à divers festivals et spectacles multidisciplinaires.	acrobats;scouts	acrobates;éclaireuses	acrobates;éclaireurs
SUBJ;PLUR;OTH;GLNK	The activists and lobbyists will keep working.	Les activistes et lobbyistes continueront de travailler.	Les activistes et lobbyistes continueront de travailler.	Les activistes et lobbyistes continueront de travailler.	Les activistes et lobbyistes continueront de travailler.	activists;lobbyists	activistes;lobbyistes	activistes;lobbyistes
SUBJ;IOBJ;OTH	It allows the addressee to return the merchandise to the sender.	Il permet à la destinataire de retourner la marchandise à l’expéditrice.	Il permet à la destinataire de retourner la marchandise à l’expéditeur.	Il permet au destinataire de retourner la marchandise à l’expéditrice.	Il permet au destinataire de retourner la marchandise à l’expéditeur.	addressee;sender	à la [destinataire];expéditrice	au [destinataire];expéditeur
SUBJ;PLUR;PROF;GLNK	Administrators or webmasters can automate tasks.	Les administratrices ou webmasters peuvent automatiser les tâches.	Les administratrices ou webmasters peuvent automatiser les tâches.	Les administrateurs ou webmasters peuvent automatiser les tâches.	Les administrateurs ou webmasters peuvent automatiser les tâches.	administrators;webmasters	administratrices;webmasters	administrateurs;webmasters
OTH;NAT;DOBJ;SUBJ	The adventurer encouraged the Tibetan to make it a way of life while in exile on the mountain.	L’aventurière a encouragé la Tibétaine à en faire un mode de vie en exil sur la montagne.	L’aventurière a encouragé le Tibétain à en faire un mode de vie en exil sur la montagne.	L’aventurier a encouragé la Tibétaine à en faire un mode de vie en exil sur la montagne.	L’aventurier a encouragé le Tibétain à en faire un mode de vie en exil sur la montagne.	adventurer;Tibetan	aventurière;la [Tibétaine]	aventurier;le [Tibétain]
SUBJ;PLUR;DOBJ;FAM;ANAN;PROF	Aeronauts have the opportunity to discover the precursors of current and future aviation with just a walk on the tarmac.	Les aéronautes ont l’occasion de découvrir les précurseuses de l’aviation actuelle et future avec une simple promenade sur le tarmac.	Les aéronautes ont l’occasion de découvrir les précurseurs de l’aviation actuelle et future avec une simple promenade sur le tarmac.	Les aéronautes ont l’occasion de découvrir les précurseuses de l’aviation actuelle et future avec une simple promenade sur le tarmac.	Les aéronautes ont l’occasion de découvrir les précurseurs de l’aviation actuelle et future avec une simple promenade sur le tarmac.	aeronauts;precursors	aéronautes;précurseuses	aéronautes;précurseurs
SUBJ;PLUR;DOBJ;NAT;PROF	Afghans bring centuries of resourcefulness to bear in their efforts to serve fitters.	Les Afghanes mettent des siècles d’ingéniosité à contribution dans leurs efforts pour servir les monteuses.	Les Afghanes mettent des siècles d’ingéniosité à contribution dans leurs efforts pour servir les monteurs.	Les Afghans mettent des siècles d’ingéniosité à contribution dans leurs efforts pour servir les monteuses.	Les Afghans mettent des siècles d’ingéniosité à contribution dans leurs efforts pour servir les monteurs.	Afghans;fitters	Afghanes;monteuses	Afghans;monteurs
SUBJ;PLUR;PROF;ANAN;DFCL;OPRP;IPRO	All know that to achieve perfection, it is imperative to always keep a clear and unclouded mind, and to protect secrets from engineers who seek to steal or plagiarize radical new designs.	Toutes savent que pour atteindre la perfection, il est impératif de toujours garder un esprit clair et aiguisé, et de protéger les secrets contre les ingénieures qui cherchent à voler ou plagier de nouveaux designs radicaux.	Toutes savent que pour atteindre la perfection, il est impératif de toujours garder un esprit clair et aiguisé, et de protéger les secrets contre les ingénieurs qui cherchent à voler ou plagier de nouveaux designs radicaux.	Tous savent que pour atteindre la perfection, il est impératif de toujours garder un esprit clair et aiguisé, et de protéger les secrets contre les ingénieures qui cherchent à voler ou plagier de nouveaux designs radicaux.	Tous savent que pour atteindre la perfection, il est impératif de toujours garder un esprit clair et aiguisé, et de protéger les secrets contre les ingénieurs qui cherchent à voler ou plagier de nouveaux designs radicaux.	all;engineers	toutes;ingénieures	tous;ingénieurs
SUBJ;PLUR;DOBJ;REL;IPRO	Unfortunately, all denied knowing any Mormons.	Malheureusement, toutes ont nié connaître des mormones.	Malheureusement, toutes ont nié connaître des mormons.	Malheureusement, tous ont nié connaître des mormones.	Malheureusement, tous ont nié connaître des mormons.	all;Mormons	toutes;mormones	tous;mormons
